ImageID,LabelName,OriginalURL,OriginalLandingURL,MaskPath,has_path,dataset,original_path,small_path
000151d10b95b4d3,/m/0pcr,https://farm4.staticflickr.com/1035/1474161379_308597d6ca_o.jpg,https://www.flickr.com/photos/theogeo/1474161379,000151d10b95b4d3_m0pcr_3b5953a5.png,True,train,../camelids/000151d10b95b4d3_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_3e8f3a6f.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_40fdedff.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_c41f7400.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_6974008c.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_3e8f3a6f.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_40fdedff.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_c41f7400.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_6974008c.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_3e8f3a6f.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_40fdedff.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_c41f7400.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_6974008c.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_3e8f3a6f.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_40fdedff.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_c41f7400.png,True,train,../camelids/002bdaf1c177effd_orig.png,
002bdaf1c177effd,/m/01x_v,https://c6.staticflickr.com/7/6079/6101033322_0526d0455f_o.jpg,https://www.flickr.com/photos/lapatia/6101033322,002bdaf1c177effd_m01x_v_6974008c.png,True,train,../camelids/002bdaf1c177effd_orig.png,
00417982f9807c37,/m/0pcr,https://farm8.staticflickr.com/8522/8580431897_44daa8ae0f_o.jpg,https://www.flickr.com/photos/sillysocks/8580431897,00417982f9807c37_m0pcr_95ebaf2e.png,True,train,../camelids/00417982f9807c37_orig.png,
00ad17d214e32d2b,/m/0pcr,https://c4.staticflickr.com/8/7024/6603729719_e5b0553887_o.jpg,https://www.flickr.com/photos/snaks/6603729719,00ad17d214e32d2b_m0pcr_e6492cf1.png,True,train,../camelids/00ad17d214e32d2b_orig.png,
